samples	_3082	_3181	_330A1	_3301.2	_s2101	_131A1	_120A2	_120A1.2	_2181	_2421	_1251	_1404.2	_1403	_120E1	_3031	_s2401	_3441	_3461	_125A1.2	_308A1	_3462	_1402	_125C1	_3182	_2451	_1402.2	_H2411	_3081	_2202	_304A1	_2422	_H2412	_H2412.2	_120A1	_1401	_1202	_120A2.2	_2191	_1252	_2201	_2431	_2192DILUTED1-10	_S2301	_304B1	_B401	_3041	_S2101.2	_2461
gi|151028|ARO_3002624|ANT(4_)-IIa__Pseudomonas_aeruginosa_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|151221540|ARO_3000838|arlR__Staphylococcus_aureus_subsp__aureus_str__Newman_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|15127844|ARO_3002843|vatD__Enterococcus_faecium_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|151803|ARO_3002690|cml__Plasmid_R26_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|152143853|ARO_3000841|CGB-1_beta-lactamase__Chryseobacterium_gleum_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|1524113|ARO_3002012|CMY-1__Klebsiella_pneumoniae_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|152812|ARO_3002534|AAC(3)-IIb__Serratia_marcescens_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|152814|ARO_3002549|AAC(6_)-Ic__Serratia_marcescens_	0	0	0	0	0	0	0	0	0	0	0	0	5.177719259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.3561508	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|152938410|ARO_3000784|cmeB__Campylobacter_jejuni_subsp__doylei_269_97_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|152939160|ARO_3000783|cmeA__Campylobacter_jejuni_subsp__doylei_269_97_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
